route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,block_code,vehicle_type
tallinna-lin_bus_1A,46720,131,"Viimsi keskus",0,163682,tallinna-lin_bus_1A_a-b,1,1A-07,L
tallinna-lin_bus_1A,46720,132,"Viimsi keskus",0,163681,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,46720,133,"Viimsi keskus",0,163678,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,46720,134,"Viimsi keskus",0,163680,tallinna-lin_bus_1A_a-b,1,1A-02,L
tallinna-lin_bus_1A,46720,135,"Viimsi keskus",0,163677,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,46720,136,"Viimsi keskus",0,163679,tallinna-lin_bus_1A_a-b,1,1A-04,L
tallinna-lin_bus_1A,46720,137,"Viimsi keskus",0,163678,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,46720,138,"Viimsi keskus",0,163680,tallinna-lin_bus_1A_a-b,1,1A-02,L
tallinna-lin_bus_1A,46720,139,"Viimsi keskus",0,163677,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,46720,140,"Viimsi keskus",0,163679,tallinna-lin_bus_1A_a-b,1,1A-04,L
tallinna-lin_bus_1A,46720,141,"Viimsi keskus",0,163678,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,46720,142,"Viimsi keskus",0,163680,tallinna-lin_bus_1A_a-b,1,1A-02,L
tallinna-lin_bus_1A,46720,143,"Viimsi keskus",0,163677,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,46720,144,"Viimsi keskus",0,163679,tallinna-lin_bus_1A_a-b,1,1A-04,L
tallinna-lin_bus_1A,46720,145,"Viimsi keskus",0,163678,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,46720,146,"Viimsi keskus",0,163680,tallinna-lin_bus_1A_a-b,1,1A-02,L
tallinna-lin_bus_1A,46720,147,"Viimsi keskus",0,163677,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,46720,148,"Viimsi keskus",0,163679,tallinna-lin_bus_1A_a-b,1,1A-04,L
tallinna-lin_bus_1A,46720,149,"Viimsi keskus",0,163678,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,46720,150,"Viimsi keskus",0,163680,tallinna-lin_bus_1A_a-b,1,1A-02,L
tallinna-lin_bus_1A,46720,151,"Viimsi keskus",0,163676,tallinna-lin_bus_1A_a-b,1,1A-06,L
tallinna-lin_bus_1A,46720,152,"Viimsi keskus",0,163677,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,46720,153,"Viimsi keskus",0,163682,tallinna-lin_bus_1A_a-b,1,1A-07,L
tallinna-lin_bus_1A,46720,154,"Viimsi keskus",0,163679,tallinna-lin_bus_1A_a-b,1,1A-04,L
tallinna-lin_bus_1A,46720,155,"Viimsi keskus",0,163681,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,46720,156,"Viimsi keskus",0,163678,tallinna-lin_bus_1A_a-b,1,1A-01,L
