stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,thoreb_id
144719,47357-1,"Suurevälja põik",,59.32576,24.54732,,,,6006
144720,47356-1,"Suurevälja põik",,59.32622,24.54751,,,,6007
12979,23411-1,"Kiviloo",,59.31129,24.55625,,,,12979
9951,23420-1,"Saue tee",,59.31232,24.56252,,,,9951
4957,23415-1,"Tõkke",,59.31340,24.53665,,,,4957
4953,23334-1,"Valingu",,59.31704,24.50185,,,,4953
4954,23333-1,"Valingu",,59.31710,24.49981,,,,4954
4974,23402-1,"Noortekeskus",,59.32577,24.56028,,,,4974
4964,23404-1,"Paulig",,59.31725,24.56938,,,,4964
4965,23403-1,"Paulig",,59.31709,24.56960,,,,4965
4975,23418-1,"Pärnasalu",,59.32306,24.56390,,,,4975
12983,23417-1,"Pärnasalu",,59.32342,24.56354,,,,12983
9615,23419-1,"Saue tee",,59.31290,24.56279,,,,9615
10404,23421-1,"Saue tee",,59.31298,24.56230,,,,10404
4976,23414-1,"Tule",,59.31973,24.56806,,,,4976
4977,23413-1,"Tule",,59.32016,24.56800,,,,4977
147388,47366-1,"Ees-Lehetu",,59.05688,24.26227,,,,6194
147389,47363-1,"Ees-Lehetu",,59.05673,24.26275,,,,6195
132905,22754-1,"Kultuurimaja",,59.07480,24.24063,,,,3623
132906,22755-1,"Kultuurimaja",,59.07510,24.24046,,,,4088
4864,22713-1,"Lehetu",,59.04475,24.26104,,,,4864
4860,22735-1,"Turba kauplus",,59.08057,24.23611,,,,4860
4861,22736-1,"Turba kauplus",,59.08029,24.23630,,,,4861
139315,47354-1,"Hindreku",,59.24554,24.48803,,,,5765
139314,47349-1,"Laane",,59.25705,24.48405,,,,2679
139316,47355-1,"Rehe",,59.24325,24.48691,,,,5766
138957,47348-1,"Tuula seltsimaja",,59.27673,24.45785,,,,5735
10801,23422-1,"Laastu",,59.32033,24.54203,,,,10801
10802,23423-1,"Laastu",,59.32101,24.54281,,,,10802
4966,23408-1,"Rauna",,59.31841,24.53980,,,,4966
4967,23407-1,"Rauna",,59.31745,24.53873,,,,4967
12977,23426-1,"Tõkke",,59.31423,24.53520,,,,12977
126693,23384-1,"Aila",,59.29408,24.49872,,,,58
126694,23385-1,"Aila",,59.29382,24.49867,,,,59
134568,47334-1,"Jalaka tee",,59.31917,24.51211,,,,4411
