route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
harju_regionalbus_102,"102","Tallinn - Laagna - Muuga - Maardu",,3,,,
harju_regionalbus_103,"103","Tallinn - Ülemiste - Lagedi - Loo - Muuga - Maardu",,3,,,
harju_regionalbus_104A,"104A","Tallinn - Loo - Kostivere",,3,,,
harju_regionalbus_104B,"104B","Tallinn - Loo - Lagedi mõis - Kostivere - Raasiku - Kuuse tee",,3,,,
harju_regionalbus_104C,"104C","Tallinn - Loo - Lagedi mõis - Kostivere - Jõelähtme",,3,,,
harju_regionalbus_105,"105","Tallinn - Vaida - Pikavere - Alavere - Voose",,3,,,
harju_regionalbus_106,"106","Tallinn - Laagna - Loo",,3,,,
harju_regionalbus_106A,"106A","Tallinn - Loo - Lagedi",,3,,,
harju_regionalbus_106B,"106B","Tallinn - Loo",,3,,,
harju_regionalbus_106C,"106C","Tallinn - Loo - Lagedi kool - Kostivere",,3,,,
harju_regionalbus_107,"107","Tallinn - Harku - Keila - Vasalemma - Ämari - Munalaskme",,3,,,
harju_regionalbus_108,"108","Tallinn - Tabasalu - Vääna-Jõesuu - Keila-Joa",,3,,,
harju_regionalbus_109,"109","Tallinn - Tabasalu - Vääna - Kindluse - Keila",,3,,,
harju_regionalbus_110,"110","Keila - Keila-Joa - Lohusalu - Paldiski",,3,,,
harju_regionalbus_111,"111","Tallinn - Tabasalu - Vatsla - Harku - Tallinn",,3,,,
harju_regionalbus_111A,"111A","Tallinn - Harku - Vatsla - Tabasalu - Tallinn",,3,,,
harju_regionalbus_112,"112","Zoo - Haabersti - Harku - Laagri - Urda - Koidu - Alliku - Saue",,3,,,
harju_regionalbus_113,"113","Saku - Jälgimäe - Vana-Pääsküla - Jälgimäe - Saku",,3,,,
harju_regionalbus_114,"114","Tallinn - Haabneeme - Rohuneeme",,3,,,
harju_regionalbus_115,"115","Tallinn - Mähe - Randvere - Tammneeme",,3,,,
harju_regionalbus_116,"116","Tallinn - Luige - Kiili - Sookaera",,3,,,
harju_regionalbus_116A,"116A","Tallinn - Luige - Kiili - Sõmeru",,3,,,
harju_regionalbus_116B,"116B","Tallinn - Vaela - Kiili - Paekna",,3,,,
harju_regionalbus_117,"117","Tallinn - Saku - Kiisa - Tagadi - Männiku",,3,,,
harju_regionalbus_117A,"117A","Tallinn - Saku",,3,,,
harju_regionalbus_118,"118","Tallinn - Harku - Vääna - Sõrve - Tabasalu - Tallinn",,3,,,
harju_regionalbus_118A,"118A","Tallinn - Tabasalu - Sõrve - Vääna - Harku - Tallinn",,3,,,
harju_regionalbus_119,"119","Tallinn - Harutee - Riisipere - Turba - Lehetu",,3,,,
harju_regionalbus_120,"120","Tallinn - Jüri",,3,,,
harju_regionalbus_120A,"120A","Tallinn - Põrguvälja - Jüri",,3,,,
harju_regionalbus_121,"121","Tallinn - Mõigu - Peetri - Järveküla - Peetri - Tallinn",,3,,,
harju_regionalbus_122,"122","Tallinn - Tabasalu - Vääna-Jõesuu",,3,,,
harju_regionalbus_123,"123","Tallinn - Sõrve - Liikva - Muraste - Tallinn",,3,,,
harju_regionalbus_124,"124","Mustamäe - Harkujärve - Tabasalu - Vääna-Jõesuu",,3,,,
harju_regionalbus_125,"125","Tallinn - Jüri - Lagedi",,3,,,
harju_regionalbus_125A,"125A","Tallinn - Põrguvälja - Jüri - Lagedi",,3,,,
harju_regionalbus_126,"126","Tallinn - Tabasalu - Vääna-Jõesuu - Keila-Joa - Lohusalu",,3,,,
harju_regionalbus_127,"127","Tallinn - Tabasalu - Sõrve - Vääna - Keila-Joa - Klooga",,3,,,
harju_regionalbus_127A,"127A","Tallinn - Tabasalu- Muraste - Vääna - Keila-Joa - Klooga",,3,,,
harju_regionalbus_128,"128","Tallinn - Tabasalu - Vääna-Jõesuu - Lohusalu - Kloogaranna",,3,,,
harju_regionalbus_129,"129","Tallinn - Tabasalu - Suurupi",,3,,,
harju_regionalbus_130,"130","Tallinn - Vaida - Tuhala - Kose",,3,,,
harju_regionalbus_131,"131","Tallinn - Vaida",,3,,,
harju_regionalbus_132,"132","Tallinn - Järveküla - Rae küla - Jüri",,3,,,
